ego_size	coreness	hub_score	constraint	eccentricity	local_scan	subgraph_centrality	transitivity
LSM2	12	8	0.00879786534490396	0.113967946973155	10	35	59704612820566616	0.436363636363636
PARP2	15	11	0.00664588035818371	0.0935749199992593	10	43	33707344491848056	0.318681318681319
SMARCA4	52	11	0.0122089699922425	0.0303664158252475	10	164	113830416551815232	0.0886274509803922
ISG20L2	2	1	0.00041062446875247	1	11	1	128671691593413	NA
FN1	37	8	0.00690267052472783	0.0327134493520668	10	57	36357868047910048	0.0333333333333333
GDI2	13	6	0.00362708065940786	0.0903926212480156	10	15	10038817339673280	0.0454545454545455
AHSG	4	3	0.000716505480359093	0.333333333333333	10	3	391772088037127	0
EIF2S1	34	25	0.339770062954187	0.0619275549889297	10	341	88088717763077210112	0.583333333333333
SPTLC2	4	2	3.32317640069635e-05	0.534722222222222	11	4	844535492879.994	0.333333333333333
ATP6V1D	11	6	1.48802653839848e-05	0.227772518229911	11	35	168963544859.312	0.555555555555556
WDR91	3	2	7.54239354731318e-06	0.5	11	2	43427093071.0629	0
KMT2A	18	8	0.00103065888579667	0.0697673972988822	10	26	811288122943083	0.0661764705882353
NRIP1	15	8	0.00228358588580994	0.0767756229384132	10	19	3980449841579413	0.0549450549450549
SDC2	12	4	0.000207623598167206	0.0928094072033466	11	12	32895679020464.1	0.0181818181818182
PRICKLE2	2	1	2.44566731199195e-09	1	14	1	4574.60798916255	NA
TCIRG1	11	6	1.50853671769556e-05	0.242333137634187	11	39	173653582384	0.644444444444444
RPS13	71	39	0.905222536206224	0.0446553469339923	10	1515	6.25260083827372e+20	0.598343685300207
TWF1	2	1	4.03410666635999e-05	1	10	1	1243801862037.6	NA
TRRAP	29	10	0.00255797883391259	0.0546433094405387	10	76	4998431242480325	0.126984126984127
MOB4	18	8	0.00550740386314222	0.065590883179159	10	25	23147372292944720	0.0588235294117647
IL15RA	7	5	0.00164328394528811	0.238806951729449	10	11	2060551136031295	0.333333333333333
IL1B	5	4	0.000190394188809027	0.25	11	4	27661360873947.7	0
RTN3	7	3	5.3909791112154e-05	0.166666666666667	11	6	2217683596901.49	0
ATP5PO	5	4	0.00893152101476217	0.25	10	4	60871903598796160	0
CASP5	5	4	8.20422528463857e-05	0.343154939058957	10	7	5137580185257.96	0.5
IRF6	2	1	1.64062250849816e-07	1	13	1	20541758.7946341	NA
HSPA5	14	5	0.0052972195141999	0.0769230769230769	10	13	21411573701649616	0
UGP2	4	2	0.00134487889705491	0.333333333333333	11	3	1381363959337774	0
KCNH1	7	4	2.26255554126414e-05	0.251481267888419	11	9	390641726769.676	0.2
DARS	14	8	0.0252166109000642	0.143168243896011	10	40	485202881852618048	0.346153846153846
CEP89	8	4	7.75085510876149e-05	0.158622448979592	11	8	4584440133384.92	0.0476190476190476
CLASP2	11	6	0.00191836107676054	0.115972532996067	11	22	2808118399652051	0.266666666666667
FLT4	9	6	0.00754763426665585	0.15935134702209	10	17	43468696253601072	0.321428571428571
SNX3	10	5	0.00488713848331131	0.14838484460632	10	15	18225314334084884	0.166666666666667
ARID1A	11	8	0.00107146926521718	0.168890978222896	10	33	876676862062780	0.511111111111111
MRPL32	52	29	0.00345767409157913	0.0627136223500745	10	992	637816874305678208	0.738039215686274
COX5A	11	6	0.000568435958898663	0.260170025510204	11	34	246588204631856	0.533333333333333
BUB3	29	15	0.0089741508348943	0.0606639324307964	10	182	61454709731371744	0.407407407407407
POU2F2	7	5	0.001146836944172	0.175374287704386	10	10	1005675689159354	0.266666666666667
PCMT1	14	8	0.0172655729383073	0.0770533478654171	9	14	227473119742535232	0.0128205128205128
MYL12A	13	8	0.0169424759688977	0.098357254961746	10	21	219030347227236064	0.136363636363636
BCL11B	11	6	0.000783670338024141	0.1	10	10	468880161381852	0
SMURF1	62	11	0.0328399726318821	0.0200442117184743	10	113	823008253645042304	0.0284153005464481
IKZF4	5	3	0.00047045076885838	0.260223948060487	10	5	168974252940461	0.166666666666667
SRSF4	60	23	0.0635165448793915	0.0307273533597799	10	517	3099785440714669056	0.267679719462303
TERF1	13	6	0.000892871188044445	0.104396504492658	10	15	608456583805543	0.0454545454545455
HNRNPD	56	23	0.0660557691129717	0.0341812649612038	10	556	3352432774064368640	0.337373737373737
UNC13D	11	5	0.000515499238137011	0.141073588719417	10	17	202782638642511	0.155555555555556
JAK2	44	11	0.00589978533645453	0.0332236769797534	9	128	26561636968746744	0.0941306755260244
KNL1	2	1	8.33031553980745e-05	1	11	1	5295150684374.42	NA
NSL1	9	6	0.00165501600501858	0.151196901749932	11	16	2090047198232500	0.285714285714286
PIP4K2B	3	1	6.83942168641218e-05	0.5	11	2	3574445820779.94	0
TSN	3	2	2.19683039346218e-05	0.5	10	2	368683389027.176	0
IFI16	4	3	0.000109863423522591	0.333333333333333	11	3	9243254004388.46	0
SLC25A4	9	4	0.000566925042194102	0.144946896134584	10	10	245745427718315	0.0714285714285714
PTPA	2	1	2.49917306617021e-05	1	11	1	476629397919.477	NA
DSCC1	7	6	0.00304763182084896	0.272885813468346	11	20	7089257140702433	0.933333333333333
CPSF1	35	17	0.0199314933455463	0.0460746926233116	10	160	306110597463820672	0.224598930481283
DDX46	32	20	0.0275197292362135	0.0485105248422695	10	179	583351452465968000	0.318279569892473
FLII	9	5	0.00732135454984369	0.127084762593458	9	10	40902331584338800	0.0714285714285714
WDR5	35	10	0.00631571544919447	0.0424903064810708	9	77	30533253849774268	0.0766488413547237
PKIG	4	2	0.00083948598774903	0.333333333333333	10	3	537749572569794	0
FTSJ1	22	11	0.02736876380429	0.0522009056490434	10	40	571558775641312320	0.0904761904761905
PIAS2	9	6	0.00152229869452081	0.150275540832261	10	16	1768788116599175	0.285714285714286
CLEC5A	2	1	1.16564012565866e-05	1	12	1	103682317976.533	NA
RAD23B	15	9	0.0223926379357296	0.0951804896817358	10	25	382613697398976256	0.120879120879121
MRPL1	46	29	0.00276027842168581	0.0630183654082446	10	754	479774461889945088	0.716161616161616
CLEC3B	6	4	3.13830016055863e-05	0.225069444444444	11	6	751617774809.611	0.1
SURF4	10	6	0.000173482383480331	0.138459354833507	10	20	22971033346807.7	0.305555555555556
SRSF7	20	15	0.0195090037333295	0.0675100584654041	10	76	292988289930564928	0.333333333333333
NCAPH2	6	5	0.001363230011772	0.289850449281293	10	12	1418087074475935	0.7
MASP2	5	3	2.0327679314678e-05	0.317743764172336	11	5	315304237034.229	0.166666666666667
SYNGAP1	31	11	0.00661304226816008	0.040398214201158	10	67	33370503846638024	0.0850574712643678
ARRB2	125	22	0.307276838940997	0.0093860720570926	9	308	72046327007544590336	0.024127983215316
RBCK1	16	11	0.00765255845530898	0.0712425449565875	10	20	44686114522699856	0.0476190476190476
SH3GL1	15	9	0.00467985529391302	0.0789215899008083	10	25	16712806286081392	0.120879120879121
ELMO1	4	3	0.000548810691881377	0.398526838276802	11	4	229844979329112	0.333333333333333
ROCK2	6	4	0.00334930386161407	0.2	9	5	8559764399002920	0
PTGS2	4	3	0.000487215937153843	0.333333333333333	10	3	181131930571086	0
UQCRC1	12	5	0.00177807868356516	0.18113453938738	9	23	2432727651434047	0.218181818181818
FZD2	13	5	0.00012361379106109	0.0966212277091907	10	15	11661722735097.2	0.0454545454545455
GCNT1	2	1	0.00019379305069428	1	10	1	28657259816577.8	NA
HERC6	8	7	0.0364024901987354	0.157751674524074	10	15	1011141396447465472	0.380952380952381
AGFG1	16	11	0.00496769988883424	0.0950808933317527	10	52	18830614581334844	0.352380952380952
MGA	5	4	0.00032845443878069	0.270698856984912	11	5	82452299408930.9	0.166666666666667
TRAF5	14	6	0.00145762404663225	0.107071644390282	10	21	1621262120049733	0.102564102564103
FANCM	14	6	0.00122898563285428	0.117486353121237	10	30	1152740956384092	0.217948717948718
GCFC2	8	6	0.00363573100797175	0.168246206236624	10	13	10202129401523372	0.285714285714286
SNRPF	62	23	0.0688433054197853	0.0388719935158663	10	835	3649663922358791680	0.422950819672131
SSRP1	18	11	0.00610898132475634	0.0768065579226448	10	40	28563089929707620	0.169117647058824
KCTD12	6	5	0.00638475301202854	0.2	10	5	31106121838502592	0
ECM1	3	2	4.92434988065147e-05	0.549036281179138	11	3	1851037485189.47	1
ESR1	88	11	0.0189576284797997	0.0150629211408896	9	199	274720601306843808	0.0299385191125368
CBFA2T3	6	4	0.000718429705960644	0.217294902379058	10	8	394023918039581	0.3
GLB1	2	1	1.05980442412014e-16	1	1	1	1.54308063481524	NA
RERE	7	3	0.000314092671861232	0.239074343882957	11	11	75371409788801.2	0.333333333333333
PPIE	58	23	0.0959111096416049	0.0384724376600202	10	744	7049753824013971456	0.430451127819549
KIAA0930	4	3	0.0013736203834741	0.340450094517958	10	4	1440553577080012	0.333333333333333
CHCHD1	47	29	0.00311365417984515	0.0613723134876065	10	750	473232316544383104	0.680193236714976
NUP155	18	10	0.00719926288270724	0.0853796262504529	10	52	39611357991846496	0.257352941176471
TCAF1	2	1	0.000129661876264755	1	10	1	12829220746659.3	NA
MRPL19	43	29	0.00267516089645211	0.0630088099637065	10	659	430287601759784384	0.716608594657375
INTS9	6	3	0.00150273349461647	0.225069444444444	11	6	1728765099509073	0.1
TESK1	3	1	0.00043482939093192	0.5	10	2	144502600785427	0
EMILIN2	2	1	7.06716960828883e-06	1	12	1	38117491359.209	NA
PDGFRB	31	11	0.00494480154024997	0.0419660535773311	10	73	18657686571064692	0.0988505747126437
WDR35	15	8	7.7641641412252e-05	0.190576403507201	11	70	4599823623554.74	0.615384615384615
IKBKE	149	20	0.0815474587894789	0.00737464300908861	9	217	5078553797370773504	0.0063430777716492
CYC1	7	5	5.22178716851329e-05	0.421136618712376	10	17	2096775043998.15	0.733333333333333
NPM1	25	12	0.023319893908911	0.0498476747725002	9	43	414966333091154112	0.0688405797101449
CYBA	5	3	0.000146386862219027	0.334609375	11	6	16352536108263.2	0.333333333333333
TGFBR2	26	9	0.0102739780682639	0.0488284587950622	10	38	80543048254583552	0.0433333333333333
CHMP3	16	7	0.0345071961659039	0.130494835731526	10	48	908592237857971840	0.314285714285714
STXBP3	9	6	0.00238129496570361	0.149379089428683	11	12	4363997226666027	0.142857142857143
ODF2L	4	2	0.000156526248799925	0.333333333333333	11	3	18722712663381.2	0
FOSB	7	5	0.000232234974812613	0.26912258715561	11	17	41256863781812.1	0.733333333333333
KIF3C	9	7	4.70848611987854e-05	0.222332628038194	11	23	1691676746045.9	0.535714285714286
CDC73	14	8	0.00420522463978847	0.0950613104779533	10	30	13558324369620266	0.217948717948718
EFTUD2	54	23	0.0629582942747681	0.0362460746110888	10	516	3044743233506095616	0.335994194484761
RAD51D	9	6	0.000418874941276666	0.243377449028639	10	25	133933683344185	0.607142857142857
LFNG	3	2	0.000473814608800333	0.5	11	2	171306498817830	0
MYO1C	32	11	0.0189222729109362	0.04136202624275	10	69	273232574029630144	0.0817204301075269
CPSF7	8	7	0.00388410623197537	0.146637850466695	10	9	11593841942433894	0.0952380952380952
NELFB	11	7	0.00315416797919066	0.128349936220803	9	21	7592818579395189	0.244444444444444
PNISR	2	1	6.23594467654369e-05	1	11	1	2992746335154.46	NA
EAPP	7	5	0.000859471670823534	0.172987252538535	10	7	563676619041038	0.0666666666666667
KCNJ10	9	6	0.000193512910941054	0.149712843633093	10	13	28577146291115.9	0.178571428571429
STX12	11	7	0.00032769092941467	0.128120493536188	11	20	81942405926658.6	0.222222222222222
ARHGEF11	19	10	0.0040452260623203	0.0595709079694443	10	27	12487437360959800	0.0588235294117647
EMP3	3	2	0.00119578121573518	0.5	10	2	1092125712093529	0
STX17	13	7	0.000320665635038379	0.115091276939949	11	29	78467187330155	0.257575757575758
TXNDC5	3	2	8.54224833709815e-05	0.5	11	2	5568263110795.15	0
LIN37	11	5	0.000810258115715851	0.101378955063096	10	11	500986911669229	0.0222222222222222
PSMB1	43	23	0.010114414976844	0.0649348480366791	10	451	78067614400677872	0.475029036004646
CBX1	20	9	0.00189655396098673	0.068807196031209	10	40	2744970482995714	0.12280701754386
SOX8	4	2	0.00011886625272757	0.333333333333333	11	3	10797459044143.6	0
UBR1	12	7	0.00340233119081417	0.0956610026388331	10	13	8832915690938673	0.0363636363636364
MED21	13	9	0.00249378331663596	0.128714704209194	10	42	4756543811692834	0.454545454545455
ARPC5	18	10	0.0104095981213335	0.0945250226223731	10	57	82685256882901792	0.294117647058824
WNT2B	9	5	0.000480194021553871	0.125	10	8	176106961652845	0
LIN9	8	6	0.000608565544690824	0.165805822899471	10	13	282665225882065	0.285714285714286
KRTAP4-12	24	6	0.00738852290920492	0.0482678403997113	10	27	41677416989862944	0.0158102766798419
XRCC5	37	13	0.016707821169245	0.039365576253316	9	101	213155377553580544	0.103174603174603
ZC3H11A	11	8	0.00310718003154054	0.130522816034698	10	22	7391853223310750	0.266666666666667
MAST2	8	4	0.0210107954055209	0.143563899696939	10	8	336848534495585280	0.0476190476190476
RIN1	6	5	0.00148573676996344	0.212455555555556	10	6	1684663095895505	0.1
PTAFR	3	2	0.00594207511269145	0.5	10	2	26941997418599548	0
PRICKLE1	4	2	6.5458027596176e-06	0.333333333333333	12	3	32722308368.6029	0
SMG8	4	2	0.0126722004429807	0.477000653890649	11	4	122533229833879488	0.333333333333333
RPS3A	76	39	0.860338292289283	0.0377599883813361	10	1382	5.64792101307132e+20	0.470990990990991
FZD10	9	5	2.99492383658183e-05	0.125	11	8	684738238766.351	0
MRPS30	18	14	0.000889057813320714	0.0873849697729162	11	85	45352078580130000	0.5
RB1	58	11	0.0100410533705102	0.0228602230512506	9	127	76948933387025376	0.043859649122807
PIAS1	24	10	0.00601788014551095	0.0515126175229111	10	41	27642879799437816	0.0711462450592885
PAH	3	2	2.43362818743482e-06	0.5	11	2	4523537589.1079	0
DDX5	33	20	0.0499464393408051	0.0391667053772841	9	120	1907050731272198144	0.17741935483871
PLCG2	16	10	0.0027236601708043	0.0805965922990571	10	34	5660849735134419	0.180952380952381
CSNK2A1	80	12	0.0251351740849682	0.0148326746095375	9	143	482206954523861824	0.020772476468679
FAM110A	7	5	0.00061082488520811	0.21054068417122	10	10	284724986605392	0.266666666666667
FOSL2	8	6	0.000304177583201084	0.184247115375779	11	15	70747395167822.5	0.380952380952381
LYN	75	11	0.00803448476813062	0.0198121458197031	10	182	49262676835708760	0.0399851906701222
SMC3	48	18	0.00933033618320334	0.0431539599357437	10	337	66431559434340056	0.268270120259019
SUPT16H	22	11	0.00743744223980649	0.0660927190254165	9	52	42245608257688176	0.147619047619048
GNAI3	48	11	0.00355561133904965	0.0383471493890659	9	194	9667953135445326	0.135985198889917
RAN	36	10	0.00752385472812896	0.0314246365851553	9	50	43205782674287336	0.0252100840336134
NOTCH4	11	5	0.00184570636243771	0.126330692332335	10	15	2599888822591788	0.111111111111111
IGSF21	5	4	0.000224585905419013	0.25	10	4	38494240419742.5	0
PELP1	12	8	0.00297931733576393	0.0950733515607522	10	20	6777375407460596	0.163636363636364
NOA1	5	2	0.000194483450919913	0.25	10	4	28862223287050.6	0
KIT	36	11	0.00956675871375642	0.0377305026207061	10	103	69837717140938360	0.114285714285714
PRPF4	39	23	0.0417260970878615	0.0496071720440274	10	406	1343892922154590208	0.523470839260313
FIP1L1	25	14	0.0216624423187962	0.0625214397923373	10	81	358870858700967680	0.206521739130435
HERC3	12	11	0.0197528521448288	0.0932831758299662	10	15	297720930668837760	0.0727272727272727
RSF1	2	1	0.000182341253319917	1	10	1	25375626079644.8	NA
TOMM7	4	2	1.51793173299135e-05	0.506235827664399	12	4	176035549029.27	0.333333333333333
MARCKSL1	3	2	0.000395955638503034	0.5	10	2	119635078224642	0
SARAF	3	1	3.30697453300062e-05	0.5	11	2	835766996224.2	0
FZD7	11	5	0.000149632631619725	0.1	10	10	17087916558328.9	0
MEF2C	13	6	0.00188328067583569	0.0923409141189207	10	16	2706653101462895	0.0606060606060606
SNRPA	48	21	0.0386519088029328	0.036285462681916	10	334	1151938743056152832	0.265494912118409
POLR3A	11	7	0.0024880120248779	0.167158473004971	10	36	4758558466564208	0.577777777777778
MMP1	10	5	9.55482353087782e-05	0.114540466392318	11	10	6966607113216.69	0.0277777777777778
APOOL	4	2	4.87546110370977e-05	0.61734693877551	11	5	1943895993851.93	0.666666666666667
MEGF6	3	2	4.14523951434402e-05	0.5	11	2	1311754358729.81	0
NCAPD3	9	5	0.00130206304655647	0.275320375346478	11	26	1293663303003393	0.642857142857143
CTCF	5	4	0.00215580378338072	0.269402643603463	10	6	3546980199851792	0.333333333333333
ILF3	12	6	0.0155930319788153	0.0992283015872456	10	16	185560529255380160	0.0909090909090909
AKAP9	15	7	0.00318417013135112	0.0779193033290732	10	18	7761721837925788	0.043956043956044
RNF14	11	9	0.00447570973037325	0.103246284546332	10	15	15287585684784622	0.111111111111111
LMNB2	3	2	0.000318844854823112	0.5	10	2	77608226535898.9	0
PROZ	2	1	3.5665057539776e-06	1	11	1	9708916847.44672	NA
BTLA	3	2	0.000449576884596574	0.529396913660539	10	3	154248012294318	1
TCEA1	24	12	0.0292991022312704	0.062801698289873	9	89	655376282600785920	0.260869565217391
POLR2K	44	21	0.0537071699031951	0.0414715283904923	10	287	2207111748302034944	0.270210409745293
DCLRE1B	6	4	0.000340885287782472	0.282069397068138	10	11	88687884684920.1	0.6
FARSA	2	1	0.000709823989550877	1	11	1	385535745378761	NA
CCNF	9	7	0.00463300878914883	0.131181365585306	10	12	16378750529349730	0.142857142857143
RHOQ	18	7	0.000734046755151157	0.0626329928249345	10	20	411180206349816	0.0220588235294118
NCK2	29	9	0.00210783122291126	0.0420923741168887	10	42	3390617045680897	0.037037037037037
POLE	42	13	0.0354440396307681	0.0385031562813318	10	179	958926614785684480	0.168292682926829
SVEP1	3	2	6.08784638810062e-05	0.5	11	2	2845824349483.55	0
CRTC1	4	3	0.00062388794304195	0.333333333333333	11	3	297133658236289	0
CCND1	20	10	0.0247663728017182	0.0620569458021794	10	45	468036134719466240	0.152046783625731
PLGRKT	2	1	3.30573943014166e-05	1	11	1	835142331658.727	NA
ARL1	14	5	0.000678490218828811	0.0950565700748851	10	17	351586963868549	0.0512820512820513
MED27	4	3	0.000636320937672549	0.333333333333333	11	3	309519964799914	0
SPAG9	8	5	0.00170239615093926	0.159851927886628	10	11	2211462151896069	0.19047619047619
SMARCB1	32	11	0.00563746547839156	0.0487426056378355	9	90	24264719463435224	0.126881720430108
GTF3C1	11	6	0.00188384770335015	0.103736582409972	10	11	2720920210005113	0.0222222222222222
CSNK2B	36	11	0.00987661444323995	0.0319317068680064	9	54	74562044807746672	0.0319327731092437
KDELR1	16	11	0.000316019720999423	0.119251921176146	10	70	76220982603014.1	0.523809523809524
FEZ1	12	5	0.0003493991164622	0.0909090909090909	10	11	93199288170780.7	0
MECR	5	4	0.000246464928004505	0.276141061269752	11	6	46373849553023	0.333333333333333
C4BPA	5	3	1.08988168538017e-05	0.25	11	4	90669519211.9002	0
RPS18	6	5	0.0150343050231286	0.210963264879204	10	6	172471427460039328	0.1
GTF3C4	7	4	0.000468934476651942	0.295989377916619	10	14	168821386012903	0.533333333333333
NFATC1	4	3	0.000197289123171217	0.333333333333333	10	3	29715550749796.3	0
MSH6	21	12	0.00532995841040078	0.0654385308097597	10	61	21691223546765724	0.215789473684211
GKAP1	4	3	0.000471579937325572	0.333333333333333	10	3	169700655545174	0
NLGN3	7	4	0.000292017990824817	0.210776329050139	10	8	65075850012639.4	0.133333333333333
MED13L	19	10	0.00155809476554652	0.139040999190512	10	100	1854482430930260	0.535947712418301
SLC18A2	4	3	0.00135852379933388	0.333333333333333	10	3	1408624802784810	0
FCN1	4	3	1.93260382209394e-05	0.333333333333333	11	3	285060021140.943	0
SEC31B	6	4	0.000121296311486215	0.237774370320166	10	8	11230507169465.1	0.3
VPS25	3	2	0.000291447017614241	0.804444444444444	11	3	64814013343681.3	1
GRAP2	20	10	0.00242468312875813	0.0785804882063884	10	63	4486237980045350	0.257309941520468
ANAPC7	13	9	0.00391811324376976	0.12559021821995	11	38	11714037391855110	0.393939393939394
LMOD1	5	4	0.000531024152983542	0.314332499810434	11	8	215174903739046	0.666666666666667
USP22	13	10	0.000842418567160266	0.123178709703875	10	37	543179717445173	0.378787878787879
HOXB7	2	1	1.86855162879855e-05	1	11	1	266638138891.757	NA
KCNJ5	6	5	0.00018966281276186	0.203996261771879	10	7	27476732827706.1	0.2
PSMB10	26	19	0.0034680226554962	0.0868857172295724	10	216	9179112086763842	0.636666666666667
PIK3C2A	7	6	0.00145046953949329	0.185768541301339	10	9	1605380007117148	0.2
GABRA5	2	1	7.31756953121627e-09	1	13	1	41743.5845514789	NA
PPP3CB	8	6	0.00094790970962333	0.177297046369568	10	14	685841486750674	0.333333333333333
BAG3	4	2	0.000770553848774325	0.349794433091023	10	4	453471935729314	0.333333333333333
ADRB2	20	11	0.00788495926447305	0.0613816133123151	10	40	47441249211160464	0.12280701754386
EFEMP2	15	5	0.000253461939905244	0.0739691795085381	10	15	49038228262568.6	0.010989010989011
WDR19	14	8	6.09152136244228e-05	0.210808390633722	11	66	2831413394587.07	0.679487179487179
COMMD1	5	4	0.00409978610424071	0.265815110029812	10	6	12826224607028762	0.333333333333333
CPNE1	10	5	0.00107702841472717	0.117953055936595	11	10	885133138138927	0.0277777777777778
TUFM	35	29	0.0021519698155253	0.0638766479394991	10	430	267733222842465120	0.705882352941176
ABI3BP	2	1	0.000160734953106128	1	11	1	19713821712786.7	NA
REXO1	4	2	0.000583161010684788	0.333333333333333	10	3	259696932977002	0
CXCR3	4	2	1.68509532380114e-07	0.333333333333333	11	3	21685537.1990681	0
FANCE	8	6	0.00101884553085323	0.215520447178538	10	19	792131038504366	0.571428571428571
RTF1	9	7	0.00129628784798162	0.1743252661414	10	21	1289831268602750	0.464285714285714
TPR	16	10	0.00392501372643027	0.0988153258255782	10	44	11809446717377244	0.276190476190476
EID2B	3	2	0.00025397600121685	0.5	11	2	49235869375850.7	0
RAD9A	22	11	0.00434347033495245	0.062350001734786	10	61	14399204359902174	0.19047619047619
ITGA5	13	5	0.000267157091526579	0.08805698873533	10	15	54472211467415.9	0.0454545454545455
RGS19	7	5	0.000250526452962012	0.178540958171392	10	8	47952305881127.1	0.133333333333333
IKZF2	3	2	1.07952522487935e-05	0.5	11	2	89074921838.4663	0
CRIP2	5	3	3.05257469373341e-05	0.25	10	4	711551993769.013	0
GCLM	2	1	1.05980442412014e-16	1	1	1	1.54308063481524	NA
DDX52	26	13	0.0101594375676927	0.101781228166202	10	173	78757127935158208	0.493333333333333
ADAM9	9	5	0.000377945090576526	0.125	10	8	109007146857567	0
POLR1C	27	11	0.00565159279281193	0.074496099039676	10	98	24480943027862040	0.221538461538462
CHMP1B	17	7	0.00266579741767915	0.120091426108786	10	49	5426138921560697	0.275
HSPH1	9	6	0.00168802683994794	0.128051187346258	10	10	2176048647998203	0.0714285714285714
CUL2	17	9	0.00836227020733493	0.063887728175764	10	20	53358484541118248	0.0333333333333333
CDH2	16	7	0.00186556130012144	0.0734108121141975	10	17	2656442193627580	0.019047619047619
CCT5	21	9	0.00438140475961749	0.0828177186360944	10	58	14655576346026400	0.2
RAD21	36	15	0.00733617576536583	0.0539630867454937	10	208	41069137148261360	0.290756302521008
TGFB1	26	7	0.000825025121303137	0.0575262645309283	10	47	519479036658340	0.0733333333333333
CD33	2	1	0.000123364981870257	1	11	1	11614098963822.3	NA
KDELR2	21	12	0.000341578647037717	0.109232266457759	11	124	89043257603387.1	0.547368421052632
MED25	15	10	0.00102220981948529	0.122927694675469	10	54	799217485961619	0.43956043956044
RPP38	32	16	0.250990781307108	0.0559889895756148	10	163	48069046921047228416	0.283870967741935
APOBEC3F	2	1	5.09974213617344e-07	1	12	1	198559531.800008	NA
GPC4	2	1	1.43385901471291e-05	1	10	1	156908347054.15	NA
YTHDC1	8	5	0.00285370196573057	0.147603008941702	10	10	6224551335688620	0.142857142857143
NOD1	10	5	0.000553683975745637	0.151912571540048	10	17	234016688369045	0.222222222222222
AAAS	6	5	0.000743438158023424	0.252572782206142	10	11	422026102712555	0.6
DLL4	5	4	0.000531467991970111	0.342719907407407	11	8	215533565287150	0.666666666666667
FAM107A	9	5	0.00141893241465737	0.139121172226035	9	10	1536367584237718	0.0714285714285714
NDUFAF2	2	1	1.43558876724543e-06	1	12	1	1582328427.8382	NA
NOLC1	10	8	0.00241313255923693	0.114352848308546	10	12	4447255056827051	0.0833333333333333
UBE2K	44	11	0.0371087923941661	0.0255982566399701	10	66	1050766130563546496	0.0254706533776301
ATXN7	21	10	0.000935683724321285	0.0647861762410976	10	40	669286040277270	0.105263157894737
CNTNAP1	9	5	0.00208256186975903	0.133410160535608	10	15	3309624606338688	0.25
BAG6	30	8	0.00428760862953854	0.0347338548332943	9	31	14054604505797552	0.00492610837438424
POLR3F	20	9	0.00408746086930884	0.0858168370806741	10	55	12814008425411972	0.210526315789474
HIST3H2A	11	6	0.000992701123331409	0.1	10	10	752152431048391	0
CNTROB	2	1	0.00222480713954125	1	11	1	3776892008282372	NA
TRPC6	4	3	0.000323599055753717	0.400774977761521	11	5	79913687149382.9	0.666666666666667
FOXO3	12	10	0.00417992153507391	0.0964437695765472	10	20	13335274270142538	0.163636363636364
LMNA	18	8	0.00954326461533991	0.0602857694027445	9	21	69527253459442696	0.0294117647058824
DLGAP4	10	7	0.0017021217842374	0.135799421485288	10	20	2210887491528016	0.305555555555556
SDC3	9	7	0.00704371576245171	0.125	10	8	37858129428075880	0
AP2B1	34	11	0.0212078821533185	0.0444077530271293	9	108	343202313951432640	0.142045454545455
PPP2R1A	54	11	0.0109904535612663	0.0237645576116923	9	92	92177811672255264	0.0283018867924528
EIF2S3	32	26	0.394582825094844	0.0684939429281667	10	396	1.18802745284356e+20	0.78494623655914
TTC30A	15	7	6.22878489653452e-05	0.154038817583238	11	48	2960494071171.77	0.373626373626374
FYN	135	11	0.015202821743905	0.0120986223833404	10	407	176374852817738144	0.0306362922230951
SYNRG	5	4	8.69625068490132e-05	0.25	11	4	5771344413942.28	0
PIP5K1B	2	1	8.34786458088752e-05	1	10	1	5317950375562.2	NA
LIFR	4	2	0.000143085292435718	0.333333333333333	10	3	15630469481486.7	0
PRDM4	4	3	0.00119774859439592	0.339352530957015	10	4	1095019658220881	0.333333333333333
ELL	6	4	0.00179053276444429	0.203048945859336	10	6	2453617284681190	0.1
STIP1	8	5	0.00224955322134106	0.143660501193171	10	8	3864358592155764	0.0476190476190476
TGFB2	10	5	0.000407865468071804	0.223372784216567	11	21	126944899526786	0.333333333333333
DYNC2LI1	19	8	0.000843305394998889	0.14216318305186	10	79	542650912403290	0.398692810457516
DAP3	55	29	0.00381327937331081	0.0505986494547752	10	793	500693833147092736	0.516422082459818
IFIT1	3	2	0.000366105758627228	0.5	11	2	102273423520476	0
TBC1D8B	6	5	0.000995814625193445	0.232916185774924	11	11	756679937373016	0.6
SRPK1	15	10	0.00885649614559269	0.0766320839172099	9	25	60285787760488896	0.120879120879121
KLC4	10	7	0.00201773995755534	0.124897901253718	10	14	3107911752042042	0.138888888888889
COPS4	9	4	0.000341565767757328	0.192433559207997	11	13	89053341416252.6	0.178571428571429
FLT3	6	4	0.000257361521842724	0.2	11	5	50545349633217.5	0
AP2S1	16	11	0.00935747389277782	0.0924050699110996	10	45	66814571294471976	0.285714285714286
MYO5A	10	5	0.00156384370851302	0.127349241329398	11	14	1866115184283002	0.138888888888889
PSAP	4	2	5.62213210321024e-05	0.333333333333333	11	3	2428214424403.34	0
MMP7	11	6	0.000288079391392276	0.116220158521441	11	15	63327177724830.8	0.111111111111111
NDUFS8	24	19	6.65527479811122e-05	0.122054417496163	11	224	3384991659184.72	0.794466403162055
FPR1	2	1	3.74110199330931e-05	1	11	1	1068021736801.95	NA
