gene	spl	degree	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	triangles	pagerank	load_centrality	harmonic_centrality
1261	CEP95	4.54505520598362	1	0.000119	45	0	0.000348	0	0	2.3e-05	0	1814.270238
1262	CEP97	3.71423483319482	7	0.000831	52.285714	5978.997472	0.00053	0.238095	5	9.7e-05	10989.424097	2255.691667
1263	CER1	4.93790810874985	3	0.000356	7.333333	8197.335397	3e-06	0	0	9.2e-05	16394.767262	1660.727381
1264	CERS2	4.83948711860382	4	0.000475	4.25	8584.382597	7e-06	0.166667	1	0.00011	17351.943257	1692.466667
1265	CES3	4.51846135581147	1	0.000119	27	0	1.6e-05	0	0	3e-05	0	1820.64246
1266	CETN2	3.36519054968539	25	0.002968	49.76	40603.561488	0.00721	0.133333	40	0.000274	74599.873074	2517.545238
1267	CETN3	4.00961652617832	3	0.000356	47.666667	136.769883	0.000162	0	0	4.8e-05	210.523587	2068.097619
1268	CETP	4.15113380030868	2	0.000237	44.5	2037.588613	8.8e-05	0	0	4.8e-05	4789.158449	1993.522619
1269	CFAP20	3.99964383236377	1	0.000119	150	0	0.000237	0	0	2.9e-05	0	2077.044048
1270	CFAP52	4.40781194348807	1	0.000119	19	0	1.3e-05	0	0	2.8e-05	0	1867.053571
1271	CFB	4.73453638846017	1	0.000119	18	0	3e-06	0	0	3.6e-05	0	1733.490476
1272	CFD	4.29787486643714	3	0.000356	26	1200.922537	4.9e-05	0	0	6.7e-05	3005.535509	1923.45
1273	CFDP1	3.85717677787012	2	0.000237	78.5	1094.154971	0.000195	0	0	4.1e-05	2214.159951	2155.222619
1274	CFH	4.52641576635403	6	0.000712	6.333333	2813.997118	6e-06	0.133333	2	0.000134	7613.545105	1819.705556
1275	CFHR3	4.73453638846017	1	0.000119	18	0	3e-06	0	0	3.6e-05	0	1733.490476
1276	CFHR5	4.73453638846017	1	0.000119	18	0	3e-06	0	0	3.6e-05	0	1733.490476
1277	CFI	4.67351300011872	4	0.000475	7.75	2237.35106	3e-06	0.166667	1	9.6e-05	5277.867632	1760.140476
1278	CFL1	3.40353793185326	14	0.001662	54.571429	32960.500978	0.002382	0.076923	7	0.000202	68317.078315	2475.266667
1279	CFL2	4.60156713759943	1	0.000119	13	0	1.1e-05	0	0	3e-05	0	1782.653175
1280	CFLAR	3.54303692271162	14	0.001662	37	10807.254776	0.000943	0.186813	17	0.000152	22251.727657	2367.845238
1281	CFP	4.33942775733112	1	0.000119	31	0	4.2e-05	0	0	2.9e-05	0	1897.84881
1282	CFTR	3.33182951442479	64	0.007599	12.234375	282713.874772	0.001277	0.003968	8	0.00098	583392.026083	2544.157143
1283	CGGBP1	4.59230677905734	1	0.000119	7	0	8e-06	0	0	3.1e-05	0	1789.922619
1284	CGN	3.77953223317108	6	0.000712	48.166667	2676.659807	0.000339	0.2	3	9.3e-05	6231.027157	2206.285714
1285	CHAF1A	3.65059954885433	7	0.000831	53.714286	9915.533594	0.000417	0	0	9.2e-05	23553.441071	2295.722619
1286	CHAF1B	3.86073845423246	5	0.000594	39.6	1597.209182	0.000378	0	0	6.9e-05	3333.392182	2159.84881
1287	CHAT	3.93968894693102	5	0.000594	31.8	710.989423	8.7e-05	0	0	7.3e-05	1449.302489	2107.213095
1288	CHCHD1	4.10138905378131	46	0.005462	47.086957	877.631128	0.000661	0.704348	729	0.000162	1521.981066	2042.642857
1289	CHCHD3	4.20218449483557	4	0.000475	27.25	2772.274861	4.9e-05	0.166667	1	7.6e-05	6799.557228	1974.615476
1290	CHCHD4	5.53140211326131	1	0.000119	3	0	0	0	0	4.1e-05	0	1470.364286
1291	CHCHD6	4.51406862163125	2	0.000237	16	0	1.7e-05	1	1	4.8e-05	0	1828.730556
1292	CHD1	3.75543155645257	5	0.000594	43.4	899.43104	0.000489	0.1	1	6.3e-05	2261.581545	2221.397619
1293	CHD3	3.23507063991452	59	0.007005	22.813559	195636.781843	0.002203	0.030392	52	0.000736	392990.518205	2630.071429
1294	CHD4	3.57224266888282	19	0.002256	39	5668.744785	0.000769	0.22807	39	0.000196	11533.289345	2359.561905
1295	CHD6	4.18437611302386	1	0.000119	81	0	0.000107	0	0	2.9e-05	0	1976.40119
1296	CHD7	4.3580671969607	1	0.000119	64	0	2.3e-05	0	0	3e-05	0	1894.630952
1297	CHD8	3.63860857176778	10	0.001187	39.3	6832.841794	0.000515	0.222222	10	0.000123	14349.816132	2303.604762
1298	CHD9	3.78226285171554	4	0.000475	54.75	554.040801	0.000197	0	0	5.8e-05	1200.286127	2202.783333
1299	CHEK1	3.78416241244212	14	0.001662	21.928571	9246.128335	0.000341	0.164835	15	0.000155	18843.348977	2207.997619
1300	CHERP	4.1899560726582	9	0.001069	45.222222	35.599673	0.00285	0.444444	16	6.5e-05	93.05964	1987.171429
1301	CHFR	4.31983853733824	1	0.000119	27	0	2.3e-05	0	0	2.8e-05	0	1911.189286
1302	CHGB	3.75495666627093	8	0.00095	26.25	10772.678272	7e-04	0	0	0.000118	23069.331386	2221.661905
1303	CHIC2	4.76564169535795	1	0.000119	15	0	5e-06	0	0	3.2e-05	0	1718.456746
1304	CHM	4.78226285171554	2	0.000237	3	115.239555	1.1e-05	0	0	5.7e-05	497.322343	1715.738889
1305	CHMP1A	5.22296094028256	2	0.000237	3.5	8192	3e-06	0	0	7.7e-05	16384	1563.259127
1306	CHMP1B	3.80553247061617	19	0.002256	16.368421	26821.570402	0.001105	0.239766	41	0.000257	56743.519376	2196.645238
1307	CHMP2A	3.7557877240888	14	0.001662	22.357143	6088.240128	0.000752	0.428571	39	0.000175	13800.184084	2223.402381
1308	CHMP2B	3.69630772883771	12	0.001425	29.916667	19724.538985	0.001012	0.151515	10	0.000163	42372.552734	2267.090476
1309	CHMP3	3.55443428707111	20	0.002375	44.6	31790.959728	0.006629	0.284211	54	0.000236	55500.459086	2372.988095
1310	CHMP4B	3.81063754006886	15	0.001781	18.6	9742.778804	0.000596	0.314286	33	0.000186	22411.683502	2191.907143
1311	CHMP4C	3.73940401282203	12	0.001425	30.916667	12039.107492	0.003058	0.454545	30	0.000161	24519.1552	2238.975
1312	CHMP5	3.87652855277217	13	0.001544	15.692308	22707.284409	0.00034	0.192308	15	0.000196	48579.493488	2151.797619
1313	CHMP6	4.31117179152321	11	0.001306	10.272727	8824.128472	0.000342	0.290909	16	0.000164	18194.775799	1921.802381
1314	CHMP7	4.32624955479046	3	0.000356	14.666667	172.990543	0.000115	0.333333	1	5e-05	474.603389	1906.679762
1315	CHN1	3.97316870473703	2	0.000237	74	393.146558	0.001328	0	0	3.5e-05	923.086736	2088.480952
1316	CHN2	4.00819185563338	1	0.000119	119	0	0.000164	0	0	2.9e-05	0	2069.536905
1317	CHP2	4.77751394989909	2	0.000237	4	229.089529	2e-06	0	0	6.3e-05	895.507326	1714.331746
1318	CHPF	4.30772883770628	1	0.000119	59	0	4.1e-05	0	0	3.1e-05	0	1916.121429
1319	CHRAC1	4.28054137480708	4	0.000475	20.5	75.358857	4.5e-05	0.666667	4	6.2e-05	290.892892	1938.125
1320	CHRD	3.89504926985635	4	0.000475	43	11687.841922	0.000114	0.166667	1	8.3e-05	24849.415351	2137.172619
1321	CHRDL1	4.93814555384067	2	0.000237	10.5	5.335397	3e-06	0	0	5.4e-05	10.767262	1660.060714
1322	CHRDL2	4.92223673275555	2	0.000237	9	10.534191	3e-06	0	0	5.4e-05	27.619657	1666.003571
1323	CHRM1	4.28125371007954	3	0.000356	51.666667	642.74362	2e-05	0	0	4.9e-05	1329.976703	1939.630952
1324	CHRM2	4.85978867386917	1	0.000119	24	0	2e-06	0	0	3.1e-05	0	1685.227778
1325	CHRM3	4.08239344651549	2	0.000237	44	207.678445	0.000188	0	0	3.7e-05	392.393798	2029.417857
1326	CHRM4	4.61035260595987	2	0.000237	15	172.472361	1e-05	0	0	4.4e-05	450.940229	1780.524603
1327	CHRM5	4.5114567256322	2	0.000237	56.5	1.139907	1.1e-05	0	0	3.5e-05	2.279738	1834.252381
1328	CHRNA2	0.000356167636234121	1	0.000119	2	0	0	0	0	8.5e-05	0	1.5
1329	CHRNA4	4.07313308797341	2	0.000237	33.5	356.915508	6.7e-05	0	0	5.2e-05	1296.01476	2030.853571
1330	CHRNB1	4.37646919149947	1	0.000119	48	0	8.2e-05	0	0	2.9e-05	0	1887.985714
1331	CHRNB3	0.000356167636234121	1	0.000119	2	0	0	0	0	8.5e-05	0	1.5
1332	CHRNB4	0.000237445090822747	2	0.000237	1	1	0	0	0	0.000186	2	2
1333	CHST15	4.09200997269381	2	0.000237	59	9.201814	5.9e-05	0	0	3.7e-05	12.972048	2022.035714
1334	CHST4	5.22426688828208	1	0.000119	2	0	0	0	0	4.7e-05	0	1560.734921
1335	CHST9	5.28897067553128	1	0.000119	3	0	0	0	0	4.1e-05	0	1540.924603
1336	CHTF18	3.63160394158851	7	0.000831	51.285714	2617.079616	0.000515	0.047619	1	8.1e-05	5486.17766	2306.35
1337	CHUK	3.34928172860026	28	0.003325	32.928571	27517.088329	0.004106	0.07672	29	0.000302	57649.534757	2518.142857
1338	CIAO1	3.71886501246587	14	0.001662	21.571429	16805.790003	0.00055	0.032967	3	0.000176	35245.501959	2248.221429
1339	CIAO2A	4.69144010447584	1	0.000119	14	0	1e-05	0	0	2.8e-05	0	1748.048413
1340	CIAO3	4.35961059005105	2	0.000237	12	0	2.3e-05	1	1	4e-05	0	1888.796429
1341	CIAPIN1	5.27508013771815	1	0.000119	3	0	1e-06	0	0	3.9e-05	0	1546.908333
1342	CIB1	3.87640983022676	8	0.00095	15.75	12364.652629	0.000103	0	0	0.000135	26497.548248	2141.220238
1343	CIC	4.5292651074439	2	0.000237	13	1044.913989	6e-06	0	0	4.6e-05	2401.224132	1814.541667
1344	CIITA	4.17404725157307	5	0.000594	14.4	4087.022906	6.3e-05	0	0	8.6e-05	10100.420745	1984.902381
1345	CINP	5.91475721239463	1	0.000119	11	0	0	0	0	2.8e-05	0	1375.179365
1346	CIP2A	4.20990146028731	1	0.000119	58	0	6.6e-05	0	0	2.8e-05	0	1962.6
1347	CIR1	3.94823697020064	3	0.000356	56.666667	30.109587	0.000157	0.666667	2	4.7e-05	74.311269	2108.042857
1348	CIRBP	3.89006292294907	4	0.000475	40.5	2360.034354	0.000177	0	0	6.8e-05	5475.947029	2138.594048
1349	CISH	3.85088448296331	5	0.000594	46.6	281.318773	0.00013	0.3	3	6.9e-05	640.322733	2163.480952
1350	CIT	4.31176540425027	2	0.000237	38.5	1179.596197	2e-05	0	0	5.2e-05	3295.983674	1916.404762
1351	CITED2	3.77466460880921	5	0.000594	60.2	12198.081244	0.000386	0.1	1	9.8e-05	24830.278508	2218.833333
1352	CITED4	6.29205746171198	1	0.000119	2	0	0	0	0	6.4e-05	0	1286.369841
1353	CIZ1	4.15932565594206	1	0.000119	44	0	5.8e-05	0	0	2.7e-05	0	1982.338095
1354	CKAP4	3.68407930666034	4	0.000475	67.25	3221.328863	0.000668	0.166667	1	6.2e-05	6057.783639	2261.114286
1355	CKAP5	3.31307135224979	38	0.004512	38.815789	96132.939826	0.001006	0.116643	82	0.000374	184648.053157	2559.971429
1356	CKB	5.8904190905853	1	0.000119	2	0	0	0	0	5.4e-05	0	1378.084127
1357	CKMT2	4.20420277810756	2	0.000237	28.5	370.325057	5.5e-05	0	0	4.6e-05	1136.19401	1965.271429
1358	CKS2	3.81633622224861	4	0.000475	54	1774.851724	0.002288	0	0	5.9e-05	3873.829653	2184.855952
1359	CLASP1	3.96177134037754	15	0.001781	17.666667	4764.988389	0.000183	0.12381	13	0.000167	10540.517457	2104.77619
1360	CLASP2	3.83224504333373	13	0.001544	24.846154	4402.738886	0.000214	0.205128	16	0.000141	9891.955869	2179.37619
1361	CLASRP	3.79793422770984	3	0.000356	70	1618.456849	0.00021	0	0	5.7e-05	3402.447272	2195.70119
1362	CLCA2	4.38430487949662	1	0.000119	62	0	4.8e-05	0	0	3.4e-05	0	1883.445238
1363	CLCF1	5.25881514899679	1	0.000119	3	0	0	0	0	4.1e-05	0	1550.403571
1364	CLCN3	4.5281966045352	2	0.000237	17.5	363.548256	5e-06	0	0	4.7e-05	866.55818	1818.434524
1365	CLCN5	4.22676006173572	2	0.000237	18	64.475865	8.7e-05	0	0	4e-05	181.180871	1951.908333
1366	CLCN7	5.59491867505639	1	0.000119	3	0	0	0	0	4.1e-05	0	1455.220635
1367	CLDN1	4.41576635403063	6	0.000712	5.5	17498.483757	1.7e-05	0	0	0.00015	35963.836214	1867.22381
1368	CLDN11	5.04463967707468	2	0.000237	2.5	73.070246	2e-06	0	0	6.4e-05	248.392063	1619.472619
1369	CLDN12	4.4770271874629	1	0.000119	23	0	1.6e-05	0	0	2.9e-05	0	1835.647619
1370	CLDN16	4.49103644782144	1	0.000119	23	0	1.1e-05	0	0	3.1e-05	0	1826.85754
1371	CLDN3	4.18959990502196	2	0.000237	33.5	2677.175241	3.6e-05	0	0	5.1e-05	6814.826121	1968.772619
1372	CLDN4	4.26380149590407	2	0.000237	17.5	59.01123	3.3e-05	0	0	4.3e-05	157.784738	1932.859524
1373	CLDN5	5.3883414460406	1	0.000119	6	0	0	0	0	3.9e-05	0	1512.074603
1374	CLDN6	4.49103644782144	1	0.000119	23	0	1.1e-05	0	0	3.1e-05	0	1826.85754
1375	CLEC11A	5.27496141517274	1	0.000119	4	0	0	0	0	3.7e-05	0	1546.911111
1376	CLEC2D	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1
1377	CLEC2L	4.89635521785587	1	0.000119	9	0	2e-06	0	0	3.2e-05	0	1668.744048
1378	CLEC3B	4.22889706755313	4	0.000475	13.25	1323.128293	4.8e-05	0	0	7.6e-05	3311.337927	1953.117857
1379	CLEC4A	4.36982072895643	1	0.000119	55	0	1.7e-05	0	0	2.9e-05	0	1887.935714
1380	CLEC4F	4.11456725632198	1	0.000119	97	0	7.2e-05	0	0	3.2e-05	0	2012.183333
1381	CLEC4M	4.12857651668052	3	0.000356	27.333333	5422.314477	0.000155	0	0	6.5e-05	10826.013987	2006.120238
1382	CLEC5A	5.10269500178084	1	0.000119	6	0	1e-06	0	0	4.6e-05	0	1599.738492
1383	CLGN	5.82203490442835	1	0.000119	2	0	0	0	0	5e-05	0	1394.152381
1384	CLIC1	3.68965926629467	5	0.000594	60.8	8272.248529	0.001219	0	0	7.1e-05	17550.643106	2265.57381
1385	CLIC2	5.13320669595156	1	0.000119	11	0	1e-06	0	0	3e-05	0	1591.887698
1386	CLIC3	5.37516324349994	1	0.000119	2	0	0	0	0	4.8e-05	0	1512.753571
1387	CLIC4	3.7244449721002	3	0.000356	90	1653.598242	0.000533	0	0	4.7e-05	3561.122754	2243.30119
1388	CLIC5	3.99263920218449	3	0.000356	23	114.794463	8.3e-05	0	0	5e-05	225.561087	2070.169048
1389	CLINT1	3.9383829989315	5	0.000594	33.6	1308.145549	0.000171	0.3	3	6.9e-05	2843.323737	2110.52381
1390	CLIP1	3.94206339783925	9	0.001069	18.666667	2357.109575	9.4e-05	0.194444	7	0.000112	5484.106462	2106.509524
1391	CLIP2	4.18437611302386	1	0.000119	81	0	0.000107	0	0	2.9e-05	0	1976.40119
1392	CLK1	3.69369583283866	11	0.001306	32.454545	10352.43191	0.001416	0.054545	3	0.000129	21597.797741	2266.37619
1393	CLK2	3.99026475127627	3	0.000356	51.333333	3475.235842	0.00024	0	0	7.1e-05	8621.027275	2083.060714
1394	CLK3	4.32399382642764	2	0.000237	16.5	149.295923	0.00012	0	0	5.1e-05	590.838957	1909.025
1395	CLNS1A	3.93814555384067	7	0.000831	52.714286	191.446359	0.003498	0.571429	12	5.9e-05	437.240594	2116.15119
1396	CLOCK	3.77775139498991	5	0.000594	48.8	1589.763484	0.000435	0.3	3	6.9e-05	3368.835142	2211.169048
1397	CLP1	3.62851715540781	48	0.005699	47.395833	33416.483578	0.014971	0.324468	366	0.000317	64583.608023	2335.790476
1398	CLPP	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1
1399	CLPS	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1
1400	CLPX	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1
1401	CLSPN	3.82868336697139	16	0.0019	25.5	5628.034479	0.000539	0.25	30	0.000158	11692.211585	2187.052381
1402	CLSTN1	3.74094740591238	7	0.000831	38.428571	3477.430184	0.000194	0.047619	1	0.000107	8273.51266	2229.997619
1403	CLTB	3.5166805176303	20	0.002375	36	9164.898863	0.001687	0.310526	59	0.000194	19444.772031	2386.440476
1404	CLTC	3.29360085480233	35	0.004156	34.914286	77448.534362	0.005403	0.058824	35	0.000398	155463.161871	2573.502381
1405	CLTCL1	3.38917250385848	31	0.003681	40.645161	11443.062004	0.005227	0.4	186	0.000292	19709.026	2490.833333
1406	CLU	3.92259290039178	14	0.001662	10.071429	36477.585889	8.9e-05	0.010989	1	0.000259	75810.202221	2118.185714
1407	CLUAP1	4.94218212038466	11	0.001306	17.454545	8192.663492	1e-05	0.727273	40	0.000131	16385.326984	1664.044048
1408	CLUH	4.67078238157426	1	0.000119	11	0	4e-06	0	0	3.2e-05	0	1758.369444
1409	CLYBL	3.75638133681586	4	0.000475	67.75	467.763442	0.000928	0.166667	1	5.6e-05	984.654011	2221.672619
1410	CMA1	4.21975543155645	5	0.000594	10	3476.25083	2e-05	0	0	9.7e-05	9446.959121	1957.580952
1411	CMBL	3.97483082037279	3	0.000356	47.666667	293.795675	0.001429	0.333333	1	3.9e-05	677.3168	2088.497619
1412	CMPK1	3.97542443309985	2	0.000237	71.5	678.145646	0.000297	0	0	4.1e-05	1613.186226	2090.630952
1413	CMSS1	4.33444141042384	1	0.000119	41	0	0.00017	0	0	2.6e-05	0	1906.432143
1414	CMTM3	3.86964264513831	3	0.000356	52	311.770935	9.2e-05	0.333333	1	4.8e-05	652.981521	2146.104762
1415	CMYA5	4.31081562388698	2	0.000237	28.5	68.980068	3.4e-05	0	0	3.6e-05	214.586417	1912.371429
1416	CNBP	3.5981241837825	16	0.0019	61.375	8247.889544	0.020243	0.275	33	0.000126	15701.184601	2341.77381
1417	CNDP1	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1
1418	CNDP2	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1
1419	CNGA2	3.98694052000475	1	0.000119	94	0	0.000151	0	0	2.9e-05	0	2077.77381
1420	CNIH2	4.79995251098184	5	0.000594	17.4	37.839459	8e-06	0.4	4	6.4e-05	167.667225	1714.168254
1421	CNIH3	5.58162174997032	1	0.000119	7	0	0	0	0	3e-05	0	1460.577381
1422	CNKSR1	3.6231746408643	14	0.001662	24.214286	21128.339498	0.000458	0.10989	10	0.000193	42788.264382	2304.621429
1423	CNKSR2	3.99940638727294	6	0.000712	25.333333	4499.674593	5.1e-05	0	0	9.8e-05	10034.888627	2075.55
1424	CNN1	3.90573429894337	2	0.000237	73	448.115913	9.8e-05	0	0	4.2e-05	1159.341938	2126.592857
1425	CNN3	3.9081087498516	2	0.000237	71.5	631.09324	8.7e-05	0	0	4.2e-05	1461.998021	2123.935714
1426	CNNM3	4.04202778107563	6	0.000712	24.666667	12988.835436	8.9e-05	0	0	0.000108	29531.310179	2056.360714
1427	CNNM4	5.43618663184139	1	0.000119	5	0	0	0	0	4e-05	0	1496.930556
1428	CNOT1	4.65249910958091	4	0.000475	7.25	6.189272	3.9e-05	0.833333	5	8.1e-05	23.316081	1764.274206
1429	CNOT10	5.45731924492461	1	0.000119	6	0	1e-06	0	0	3.6e-05	0	1490.875397
1430	CNOT2	4.31592069333966	5	0.000594	6	8390.742428	5.7e-05	0.1	1	0.000102	17049.42623	1909.822619
1431	CNOT3	5.28849578534964	1	0.000119	5	0	1e-06	0	0	3.5e-05	0	1540.248016
1432	CNOT4	4.11219280541375	5	0.000594	37.2	2256.144568	0.000691	0	0	7.1e-05	4666.371555	2017.789286
1433	CNOT6	4.55728362816099	6	0.000712	6	2959.364169	4e-05	0.333333	5	0.000114	6922.086417	1803.126587
1434	CNOT6L	4.48474415291464	6	0.000712	5.666667	8917.248714	4.2e-05	0.333333	5	0.000125	18521.380132	1834.083333
1435	CNOT7	3.77513949899086	10	0.001187	23.6	29921.794683	0.001906	0.133333	6	0.00016	57980.41482	2212.003571
1436	CNOT8	4.09640270687404	7	0.000831	11.428571	6481.422553	0.000175	0.190476	4	0.000125	16812.089907	2021.15
1437	CNOT9	4.04250267125727	1	0.000119	73	0	0.000166	0	0	2.8e-05	0	2045.057143
1438	CNPY2	4.96200878546836	2	0.000237	2	16382	2e-06	0	0	9.9e-05	32764	1648.711111
1439	CNPY4	4.34192093078476	2	0.000237	14	58.213277	2.9e-05	0	0	4.1e-05	150.55474	1897.30119
1440	CNR1	4.11207408286834	4	0.000475	55	941.086579	5.2e-05	0.333333	2	5.4e-05	2134.03827	2023.871429
1441	CNR2	4.38454232458744	6	0.000712	62	11.663398	3.3e-05	0.4	6	6.9e-05	21.963139	1896.644048
1442	CNRIP1	4.21239463374095	1	0.000119	42	0	0.000111	0	0	2.8e-05	0	1962.735714
1443	CNTFR	4.28624005698682	3	0.000356	19	8551.03078	1.8e-05	0	0	8e-05	17256.500582	1926.165476
1444	CNTN1	3.68586014484151	9	0.001069	28.111111	10869.253267	0.000275	0.055556	2	0.000133	23475.260805	2265.171429
1445	CNTN2	4.38881633622225	4	0.000475	8	514.277146	1.3e-05	0	0	7e-05	1395.858094	1877.054762
1446	CNTNAP1	3.5709367208833	7	0.000831	88.285714	3194.691159	0.000458	0.380952	8	9.7e-05	6367.353613	2354.454762
1447	CNTNAP2	5.15754481776089	1	0.000119	9	0	1e-06	0	0	3.7e-05	0	1582.548413
1448	CNTRL	4.23055918318889	2	0.000237	21	185.501701	0.000173	0	0	4e-05	507.601122	1949.155952
1449	CNTROB	3.8976611658554	3	0.000356	37	749.011996	0.000385	0	0	5e-05	1877.461276	2126.934524
1450	COASY	4.77312121571886	1	0.000119	5	0	3e-06	0	0	3.3e-05	0	1716.52381
1451	COG2	4.35035023150896	13	0.001544	18.769231	967.302298	3.8e-05	0.384615	30	0.000139	2274.182883	1907.441667
1452	COG3	4.01317820254066	18	0.002137	21.777778	8079.985312	8.9e-05	0.24183	37	0.000191	17052.780567	2079.95
1453	COG4	4.09889588032767	19	0.002256	20.421053	4622.066215	7.8e-05	0.385965	66	0.000196	9507.233831	2033.902381
1454	COG5	3.86465629823103	13	0.001544	28.615385	9964.015083	0.000407	0.589744	46	0.000129	22056.979687	2157.278571
1455	COG6	4.12430250504571	15	0.001781	23.2	1217.580896	6.5e-05	0.457143	48	0.000152	2635.792424	2018.713095
1456	COG7	4.30618544461593	13	0.001544	19.923077	2006.007901	3.3e-05	0.525641	41	0.000136	4569.852713	1925.640476
1457	COG8	4.00593612727057	25	0.002968	20.6	17080.608311	1e-04	0.296667	89	0.000264	34087.143152	2087.8
1458	COIL	3.40508132494361	39	0.004631	17.051282	141017.769162	0.000856	0.005398	4	0.00058	288995.235989	2481.214286
1459	COL10A1	5.0605484981598	1	0.000119	5	0	6e-06	0	0	3.3e-05	0	1613.537698
1460	COL11A1	4.86572480113974	1	0.000119	9	0	2e-06	0	0	3.3e-05	0	1682.495238
1461	COL11A2	4.13617475958685	1	0.000119	53	0	0.000124	0	0	2.7e-05	0	1996.30119
1462	COL12A1	3.99109580909415	1	0.000119	92	0	0.000372	0	0	2.8e-05	0	2074.515476
1463	COL13A1	4.19434880683842	4	0.000475	21.25	574.569455	4.1e-05	0	0	6.9e-05	1442.842771	1973.102381
1464	COL14A1	4.31651430606672	2	0.000237	28	42.385743	2.6e-05	0	0	4.3e-05	80.410103	1912.321429
1465	COL17A1	4.25952748426926	2	0.000237	14	18.977778	4e-05	0	0	4.3e-05	52.912125	1934.075
1466	COL18A1	4.40828683366971	4	0.000475	14.25	1173.232533	1.1e-05	0	0	7.6e-05	2851.266769	1871.883333
1467	COL1A1	3.58637065178677	26	0.003087	21.076923	61350.470473	0.000609	0.092308	30	0.000368	117676.355937	2343.209524
1468	COL1A2	3.74355930191143	16	0.0019	23.375	23642.741919	0.000509	0.183333	22	0.000243	45771.982933	2235.15
1469	COL23A1	4.91760655348451	1	0.000119	10	0	2e-06	0	0	3.3e-05	0	1663.988492
1470	COL26A1	5.50160275436305	1	0.000119	3	0	0	0	0	4e-05	0	1478.421429
1471	COL2A1	4.50053425145435	1	0.000119	16	0	2.9e-05	0	0	3.1e-05	0	1825.758333
1472	COL3A1	4.09675887451027	8	0.00095	17	4428.730151	5.3e-05	0.071429	2	0.000133	10704.12231	2024.165476
1473	COL4A1	3.68312952629704	21	0.002493	20.666667	35131.525188	0.000534	0.085714	18	0.000303	70197.894965	2276.369048
1474	COL4A2	3.86180695714116	16	0.0019	15.5625	18759.873133	0.000116	0.083333	10	0.000235	38638.918826	2160.10119
1475	COL4A3	4.10696901341565	11	0.001306	12.727273	27682.976475	4.9e-05	0.018182	1	0.000195	55095.052896	2022.520238
1476	COL4A3BP	4.31259646206815	4	0.000475	12.5	1673.745978	5.1e-05	0.166667	1	7.1e-05	4226.73059	1914.210714
1477	COL4A4	4.14258577703906	8	0.00095	17.5	1518.918538	5e-05	0.071429	2	0.000123	3002.436573	2003.67619
1478	COL4A5	3.86085717677787	10	0.001187	23.5	5042.960614	0.00015	0.066667	3	0.000145	9873.430769	2158.725
1479	COL4A6	4.65950373976018	1	0.000119	23	0	7e-06	0	0	3.1e-05	0	1760.863095
1480	COL5A1	3.85717677787012	7	0.000831	32	1929.535442	0.000447	0.238095	5	0.000105	3638.786582	2156.716667
1481	COL5A2	4.42811349875341	2	0.000237	15.5	261.115393	2.4e-05	0	0	4.7e-05	743.796399	1857.877381
1482	COL5A3	4.71613439392141	1	0.000119	16	0	9e-06	0	0	3.1e-05	0	1739.46627
1483	COL6A1	3.87830939095334	9	0.001069	21.111111	4108.87607	0.000462	0.166667	6	0.000134	8881.089104	2145.842857
1484	COL6A2	4.19173691083937	4	0.000475	18.25	2430.005001	5.3e-05	0.166667	1	7.2e-05	5963.994677	1972.035714
1485	COL6A3	3.95441054256203	4	0.000475	33.25	1022.28859	0.000387	0.333333	2	6.9e-05	2283.682803	2098.527381
1486	COL7A1	4.01579009853971	9	0.001069	15.333333	10997.921699	8.1e-05	0	0	0.000157	23019.647727	2067.266667
1487	COL8A1	3.84387985278404	6	0.000712	30.333333	11180.369034	0.000466	0.066667	1	0.000109	23165.732503	2163.733333
1488	COL8A2	4.81645494479402	1	0.000119	6	0	8e-06	0	0	3.3e-05	0	1698.504365
1489	COL9A2	4.11053068977799	3	0.000356	23.666667	256.691982	0.000122	0	0	5.5e-05	741.709295	2015.470238
1490	COLEC11	5.76018045826903	1	0.000119	4	0	0	0	0	4.9e-05	0	1409.138889
1491	COLQ	4.83794372551348	2	0.000237	2	8192	2e-06	0	0	8.7e-05	16384	1688.712698
1492	COMMD1	3.72361391428232	5	0.000594	65.4	171.044655	0.001722	0.5	5	6.2e-05	319.491224	2243.952381
1493	COMMD2	3.95227353674463	3	0.000356	53	0	0.001015	1	3	4.4e-05	0	2102.721429
1494	COMMD3	4.27757331117179	2	0.000237	23.5	620.945334	7.3e-05	0	0	4.9e-05	1969.920672	1931.985714
1495	COMMD4	3.86655585895762	3	0.000356	63.666667	18.566295	0.000706	0.666667	2	4.6e-05	29.27676	2154.380952
1496	COMMD5	3.93030986584352	1	0.000119	122	0	0.000448	0	0	2.7e-05	0	2115.457143
1497	COMMD6	3.93030986584352	1	0.000119	122	0	0.000448	0	0	2.7e-05	0	2115.457143
1498	COMMD7	3.88365190549685	2	0.000237	83.5	18.566295	0.00052	0	0	3.6e-05	29.27676	2144.907143
